Word,Length,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF,SUBTLCD,LgSUBTLCD,Ortho_N,Phono_N,Phono_N_H,OG_N,OG_N_H,Freq_N,Freq_N_P,Freq_N_PH,Freq_N_OG,Freq_N_OGH,Freq_Greater,Freq_G_Mean,Freq_Less,Freq_L_Mean,Freq_Rel,Concreteness_Rating,Semantic_Neighborhood_Density,Semantic_Neighbors,Semantic_Diversity,Age_Of_Acquisition,Body_Object_Interaction,Emotional_Valence,Emotional_Arousal,Emotional_Dominance,BG_Sum,BG_Mean,BG_Freq_By_Pos,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Obs,I_NMG_Mean_Accuracy
adequate,8,"8,178",9.009,2.59,2.124,1.32,2.049,0,0,0,0,0,,,,,,,,,,,1.97,0.61,"3,538",2.076,10.35,,4.7,3.64,6.89,"25,915","3,702.14","2,958","""a.4@.kw@t",7,3,{adequ--ate},"{""a.4@.kw--@t}",2,JJ,674.688,-0.276,134.676,26,0.97,723.423,-0.25,265.907,,0.929
adorable,8,935,6.841,10.53,2.731,5.2,2.64,1,0,0,0,0,2.9,,,,,0,,1,2.9,2.37,1.86,0.288,0,1.427,6.94,,7.4,4.66,6.83,"25,138","3,591.14","2,587","@.d""Or.@.bl=",7,4,{adore}>able>,"{@.d""Or}.>@.bl=>",2,JJ,787.061,-0.04,265.024,27,0.97,622.481,-0.403,171.333,,1
afraid,6,"23,303",10.056,247.67,4.101,58.94,3.694,0,2,2,0,0,,2.191,2.191,,,,,,,,2.7,0.584,"1,760",1.652,4.42,1.333,2.25,5.12,2.71,"10,601","2,120.20","1,407","@.fr""ed",5,2,{afraid},"{@.fr""ed}",1,JJ,599.594,-0.587,197.277,29,1,653.759,-0.356,195.839,,1
ancient,7,"18,204",9.809,21.67,3.044,8.8,2.869,0,0,0,0,0,,,,,,,,,,,2.04,0.655,"6,657",1.702,8.26,,7.24,3.48,4.86,"28,314","4,719.00","3,429","""en.Sn=t",5,2,{ancient},"{""en.Sn=t}",1,JJ|NN,624.091,-0.578,184.107,21,0.97,621.714,-0.508,174.504,,0.955
angles,6,"3,573",8.181,3.22,2.217,1.63,2.14,3,3,3,2,2,6.6,6.566,6.566,7.131,7.131,0,,3,6.6,1.24,3.59,0.583,"1,593",1.582,8.05,,,,,"36,352","7,270.40","3,218","""aN.gl=z",5,2,{angle}>s>,"{""aN.gl=}>z>",2,NN|VB,635.97,-0.436,149.138,25,0.97,703.32,-0.038,282.162,,0.926
angry,5,"13,441",9.506,58.98,3.478,22.22,3.271,0,0,0,0,0,,,,,,,,,,,2.53,0.618,"4,414",1.699,4.45,2.13,2.53,6.2,4.11,"18,453","4,613.25","1,104","""aN.gri",5,2,{angry},"{""aN.gri}",1,JJ,559.97,-0.812,130.784,28,0.97,624.893,-0.546,261.544,,1
annoyed,7,"3,693",8.214,3.43,2.245,1.78,2.176,0,2,2,0,0,,9.005,9.005,,,,,,,,2.89,0.544,0,1.624,7.72,,2.8,5.29,4.08,"18,640","3,106.67","2,546","@.n""OId",4,2,{annoy}>ed>,"{@.n""OI}>d>",2,VB|JJ,725.367,-0.142,246.136,29,0.94,614.276,-0.377,128.624,,1
antler,6,85,4.443,0.29,1.204,0.15,1.146,2,0,0,0,0,5,,,,,2,5,0,,0.89,4.86,0.307,0,,6.39,,,,,"33,308","6,661.60","5,164","""ant.l@`",5,2,{antler},"{""ant.l@`}",1,NN,789.194,-0.102,374.909,28,0.91,650.286,-0.225,176.98,,1
architects,10,"1,790",7.49,1.08,1.748,0.45,1.591,0,0,9,0,0,,,4.304,,,,,,,,,0.597,"3,203",1.229,10.12,,,,,"32,196","3,577.33","3,162","""Ar.kI.tEkts",9,3,{architect}>s>,"{""Ar.kI.tEkt}>s>",2,NN,844.6,0.206,354.992,25,0.94,688.96,-0.183,226.193,,0.962
articulate,10,"1,695",7.435,1.67,1.935,0.87,1.869,0,0,0,0,0,,,,,,,,,,,2.2,0.481,0,1.828,13,,6.55,4.27,6.89,"46,199","5,133.22","3,979","Ar.t""I.kj@.l@t",10,4,{articul--ate},"{Ar.t""I.kj@.l--@t}",2,JJ,864.882,0.161,386.957,27,1,715.852,-0.084,182.387,,1
